Date,avg_sentiment_score,avg_sentiment_label_score,pos_count,neut_count,neg_count,total,pct_positive,pct_neutral,pct_negative,sentiment_score_combined,sentiment_polarization,log_total_sentiment,z_sentiment_score_combined,z_sentiment_polarization,z_log_total_sentiment
2019-05-02,0.9797281384468078,0.16,6.0,17.0,2.0,25.0,0.24,0.68,0.08,0.7338096969127655,0.15999999999999998,3.258096538021482,0.5968291803577919,0.43346181323501926,0.5601085773879774
2019-05-03,0.951291915584118,-0.0212765957446808,11.0,24.0,12.0,47.0,0.2340425531914893,0.5106382978723404,0.2553191489361702,0.6595213621854783,-0.021276595744680882,3.871201010907891,0.26488640802216007,-0.14959107167031738,1.0097100930080563
2019-05-04,0.9273709813753764,0.0,4.0,7.0,4.0,15.0,0.2666666666666666,0.4666666666666667,0.2666666666666666,0.6491596869627635,0.0,2.772588722239781,0.21858730585361996,-0.08115763447485524,0.20407618898736474
2019-05-05,0.9512109518051148,0.15,7.0,9.0,4.0,20.0,0.35,0.45,0.2,0.7108476662635804,0.14999999999999997,3.044522437723423,0.4942278750502097,0.40129809775315206,0.403490507486875
2019-05-06,0.9550348542354724,-0.1481481481481481,5.0,36.0,13.0,54.0,0.0925925925925925,0.6666666666666666,0.2407407407407407,0.6240799535203863,-0.1481481481481482,4.007333185232471,0.1065234632750698,-0.5576571230951096,1.109538482145135
2019-05-07,0.9421515277138462,-0.1111111111111111,12.0,24.0,18.0,54.0,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.626172736066359,-0.1111111111111111,4.007333185232471,0.11587464933619251,-0.4385322509400459,1.109538482145135
2019-05-08,0.942325196176205,-0.0188679245283018,12.0,28.0,13.0,53.0,0.2264150943396226,0.5283018867924528,0.2452830188679245,0.6539672599648529,-0.01886792452830191,3.9889840465642745,0.24006899764786785,-0.14184389010101978,1.096082699451681
2019-05-09,0.9676711115726204,0.1162790697674418,13.0,22.0,8.0,43.0,0.3023255813953488,0.5116279069767442,0.1860465116279069,0.7122534990310667,0.11627906976744193,3.784189633918261,0.500509561508693,0.29283905717476316,0.9459029464273858
2019-05-10,0.9772765614368296,0.0925925925925925,11.0,37.0,6.0,54.0,0.2037037037037037,0.6851851851851852,0.1111111111111111,0.7118713707835584,0.09259259259259259,4.007333185232471,0.49880209679931026,0.21665454591280367,1.109538482145135
2019-05-11,0.8953534054756165,0.12,7.0,14.0,4.0,25.0,0.28,0.56,0.16,0.6627473838329315,0.12000000000000002,3.258096538021482,0.27930124950705126,0.30480695130755076,0.5601085773879774
2019-05-12,0.9398014402389526,0.36,10.0,14.0,1.0,25.0,0.4,0.56,0.04,0.7658610081672668,0.36000000000000004,3.258096538021482,0.74004414343198,1.0767361228723626,0.5601085773879774
